[ 2015-11-23T09:32:05+08:00 ] /jstc/jstc/admin | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000191s ]
[ 2015-11-23T09:32:05+08:00 ] /jstc/jstc/admin | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2015-11-23T09:32:05+08:00 ] /jstc/jstc/admin | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.000844s ]
[ 2015-11-23T09:32:05+08:00 ] /jstc/jstc/admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2015-11-23T09:32:05+08:00 ] /jstc/jstc/admin | SQL: SELECT * FROM `user` WHERE ( `id` = '1' )  [ RunTime:0.000944s ]
[ 2015-11-23T09:32:05+08:00 ] /jstc/jstc/admin | INFO: Tag[ view_template ] --START--
[ 2015-11-23T09:32:05+08:00 ] /jstc/jstc/admin | INFO: Run LocationTemplate Behavior [ RunTime:0.000189s ]
[ 2015-11-23T09:32:05+08:00 ] /jstc/jstc/admin | INFO: Tag[ view_template ] --END-- [ RunTime:0.000213s ]
[ 2015-11-23T09:32:05+08:00 ] /jstc/jstc/admin | INFO: Tag[ view_parse ] --START--
[ 2015-11-23T09:32:05+08:00 ] /jstc/jstc/admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2015-11-23T09:32:05+08:00 ] /jstc/jstc/admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-11-23T09:32:05+08:00 ] /jstc/jstc/admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-11-23T09:32:05+08:00 ] /jstc/jstc/admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-11-23T09:32:05+08:00 ] /jstc/jstc/admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
